date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:14	2367/2367	---MC-	200	added ('OK')	application/json	date:Fri,%2003%20Mar%202023%2008:12:13%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Fhead-referees-feedback-from-asia-pacific-2012%2F	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embed0062.json	(from https://aura.org.nz/head-referees-feedback-from-asia-pacific-2012/)
21:12:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:13%20GMT	https://aura.org.nz/?p=1226	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/indexa5f9.html	(from https://aura.org.nz/head-referees-feedback-from-asia-pacific-2012/)
21:12:15	2467/2467	---MC-	200	added ('OK')	text/xml	date:Fri,%2003%20Mar%202023%2008:12:13%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Fhead-referees-feedback-from-asia-pacific-2012%2F&format=xml	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embedfe4f	(from https://aura.org.nz/head-referees-feedback-from-asia-pacific-2012/)
21:12:15	1162/1162	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Mar%202023%2008:12:13%20GMT	https://dl.dropbox.com/u/64849289/Asia%20Pacific%202012%20-%20Comments%20from%20Head%20Ref.pdf	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/dl.dropbox.com/u/64849289/Asia%20Pacific%202012%20-%20Comments%20from%20Head%20Ref.134.delayed	(from https://aura.org.nz/head-referees-feedback-from-asia-pacific-2012/)
21:12:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:14%20GMT	https://wp.me/pbLPmZ-jx	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/wp.me/pbLPmZ-jx	(from https://aura.org.nz/smc-pneumatics-college-scrimmage-dec-2012/)
21:12:16	954/954	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2008:12:15%20GMT	https://aura.org.nz/smc-pneumatics-college-scrimmage-dec-2012/feed/	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/smc-pneumatics-college-scrimmage-dec-2012/feed/index.html	(from https://aura.org.nz/smc-pneumatics-college-scrimmage-dec-2012/)
21:12:17	2326/2326	---MC-	200	added ('OK')	application/json	date:Fri,%2003%20Mar%202023%2008:12:15%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Fsmc-pneumatics-college-scrimmage-dec-2012%2F	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embedced7.json	(from https://aura.org.nz/smc-pneumatics-college-scrimmage-dec-2012/)
21:12:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:15%20GMT	https://aura.org.nz/?p=1211	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/index2b78.html	(from https://aura.org.nz/smc-pneumatics-college-scrimmage-dec-2012/)
21:12:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:16%20GMT	http://farm9.staticflickr.com/8479/8213030510_9d90963223_c.jpg	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/farm9.staticflickr.com/8479/8213030510_9d90963223_c.138.delayed	(from https://aura.org.nz/robonz-nov-2012/)
21:12:17	2423/2423	---MC-	200	added ('OK')	text/xml	date:Fri,%2003%20Mar%202023%2008:12:15%20GMT	https://aura.org.nz/wp-json/oembed/1.0/embed?url=https%3A%2F%2Faura.org.nz%2Fsmc-pneumatics-college-scrimmage-dec-2012%2F&format=xml	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/wp-json/oembed/1.0/embed14d1	(from https://aura.org.nz/smc-pneumatics-college-scrimmage-dec-2012/)
21:12:18	59140/59140	---MC-	200	added ('OK')	image/jpeg	etag:%22f08369c6239e3e9baa9dcef263131a3d.1%22	https://farm9.staticflickr.com/8479/8213030510_9d90963223_c.jpg	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/farm9.staticflickr.com/8479/8213030510_9d90963223_c.jpg	(from https://aura.org.nz/robonz-nov-2012/)
21:12:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2008:12:17%20GMT	https://wp.me/pbLPmZ-jt	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/wp.me/pbLPmZ-jt.13a.delayed	(from https://aura.org.nz/robonz-nov-2012/)
21:12:19	876/876	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2008:12:17%20GMT	https://aura.org.nz/robonz-nov-2012/feed/	C:/Users/shaun/Documents/_Websites/zArchive/AURA_OLD/AURA/aura.org.nz/robonz-nov-2012/feed/index.html	(from https://aura.org.nz/robonz-nov-2012/)
